"Rank","Song","Artist","Year","Lyrics","Source"
"18","wild thoughts","dj khaled featuring rihanna and bryson tiller","2017","  another one we the best music dj khaledi dont know if you could take it know you wanna see me nakey nakey naked i wanna be your baby baby baby spinning and its wet just like it came from maytag white girl wasted on that brown liquor when i get like this i cant be around you im too lit to dim down a notch cause i could name some thangs that im gon dowild wild wild wild wild wild thoughts wild wild wild when im with you all i get is wild thoughts wild wild wild when im with you all i get is wild thoughts   related           23 one hit wonders you still cant get out of your head       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           lets goi hope you know im for the takin you know this cookie is for the baking ugh kitty kitty baby give that thing some rest cause you done beat it like the 68 jets diamonds aint nothing when im rockin with ya diamonds aint nothing when im shinin with ya just keep it white and black as if im ya sista im too hip to hop around town out here with yawild wild wild wild wild wild thoughts wild wild wild when im with you all i get is wild thoughts wild wild wild when im with you all i get is wild thoughts    photos                                   ayy i heard that pussy for the taking i heard it got these other niggas goin crazy yeah i treat you like a lady lady fuck you til youre burned out cremation make it cream yeah wutang throw that ass back bouquet call me and i can get it juicy i can tell youre gone off the dusse careful mama watch what you say you talking to me like ya new bae girl talking to me like you tryna do things now that pipe got her running like she usain baby you made me drown in it touche baby im carrying that water bobby boucher baby you know ima slaughter like im jason bust it why you got it on safety white girl wasted on brown liquor i probably shouldnt be around you cause you get wild wild wild you looking like theres nothing that you wont do ayy girl thats when i told youwild wild wild wild wild wild thoughts wild wild wild when im with you all i get is wild thoughts wild wild wild when im with you all i get is wild thoughtsdj khaled wild wild wild wild wild wild when im with you all i get is wild thoughts         ",1
"19","black beatles","rae sremmurd featuring gucci mane","2017","  black beatles in the city be back immediately to confiscate the moneys ear drummers rae sremm guwop mike will i sent flowers but you said you didnt receive em but you said you didnt need emthat girl is a real crowd pleaser small world all her friends know of me young bull livin like an old geezer quick release the cash watch it fall slowly frat girls still tryna get even haters mad for whatever reason smoke in the air binge drinking they lose it when the dj drops the needle   related           songs that will make you cry uncontrollably       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           getting so gone im not blinkin what in the world was i thinkin new day new money to be made there is nothin to explain im a fuckin black beatle cream seats in the regal rockin john lennon lenses like to see em spread eagle took a bitch to the club and let her party on the table screamin everybodys famous like clockwork i blow it all and get some more get you somebody that can do both black beatles got the babes belly rollin she think she love me i think she trollin    photos                                   that girl is a real crowd pleaser small world all her friends know of me young bull livin like an old geezer quick release the cash watch it fall slowly frat girls still tryna get even haters mad for whatever reason smoke in the air binge drinkin they lose it when the dj drops the needlecame in with two girls look like strippers in their real clothes a broke ho can only point me to a rich ho a yellow bitch with green hair a real weirdo black man yellow lamb red light go they seen that guwop and them just came in through the side door theres so much money on the floor we buyin school clothes why you bring the money machine to the club for pint of lean pound of weed and a kilo i eurostep past a hater like im rondo i upgrade your baby mama to a condo like chapo servin yayo to the gringos black beatle club close when i say sothat girl is a real crowd pleaser small world all her friends know of me young bull livin like an old geezer quick release the cash watch it fall slowly frat girls still tryna get even haters mad for whatever reason smoke in the air binge drinkin they lose it when the dj drops the needleshes a good teaser and we blowin reefer your body like a work of art baby dont fuck with me ill break your heart baby dg on me i got a lot of flavor 15 hundred on my feet im tryna kill these haters i had haters when i was broke im rich i still got haters i had hoes when i was broke im rich im still a player i wear leather gucci jackets like its still the 80s ive been blowin og kush i feel a lil sedated i cant worry about a broke nigga or a hater black beatle bitch me and paul mccartney relatedthat girl is a real crowd pleaser small world all her friends know of me young bull livin like an old geezer quick release the cash watch it fall slowly frat girls still tryna get even haters mad for whatever reason smoke in the air binge drinkin they lose it when the dj drops the needle         ",1
"20","starboy","the weeknd featuring daft punk","2017","im tryna put you in the worst mood ah p1 cleaner than your church shoes ah milli point two just to hurt you ah all red lamb just to tease you ah none of these toys on lease too ah made your whole year in a week too yah main bitch out your league too ah side bitch out of your league too ah house so empty need a centerpiece twenty racks a table carved from ebony cut that ivory into skinny pieces then she clean it with her face man i love my baby you talking money need a hearing aid you talking bout me i dont see a shade switch out my side ill take any lane i switch out my car if i kill any pain look what youve done im a motherfucking starboy look what youve done im a motherfucking starboy every day a nigga try to test me ah every day a nigga try to end me ah pull off in that roadster sv ah pockets overweight getting hefty ah coming for the king thats a far cry i i come alive in the fall time i the competition i dont ever listen im in the blue moon song bumping new edition house so empty need a centerpiece twenty racks a table carved from ebony cut that ivory to skinny pieces then she clean it with her face but i love my baby you talking money need a hearing aid you talking bout me i dont see a shade switch out my side ill take any lane i switch out my car if i kill any pain look what youve done im a motherfucking starboy look what youve done im a motherfucking starboy let a nigga brad pitt legend of the fall took the year like a bandit by my ma a crib and a brand new wagon now she hit the grocery shop looking lavish star trek groove in that wraith of khan girls get loose when they hear this song 100 on the dash get me close to god we dont pray for love we just pray for cars house so empty need a centerpiece twenty racks a table carved from ebony cut that ivory to skinny pieces then she clean it with her face but i love my baby you talking money need a hearing aid you talking bout me i dont see a shade switch out my side ill take any lane i switch out my car if i kill any pain look what youve done im a motherfucking starboy look what youve done im a motherfucking starboy look what youve done im a motherfucking starboy look what youve done im a motherfucking starboy",2
"21","location","khalid","2017","  send me your location lets focus on communicating cause i just need the time and place to come through place to come through send me your location lets ride the vibrations i dont need nothing else but youat times i wonder why i fool with you but this is new to me this is new to you initially i didnt wanna fall for you gather my attention it was all for you so dont take advantage dont leave my heart damaged to understand that things go a little bit better when you plan it oh   related           songs you love if you love nerds       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           so wont you send me your location lets focus on communicating cause i just need the time and place to come through place to come through send me your location lets ride the vibrations i dont need nothing else but youi dont wanna fall in love off of subtweets so lets get personal i got a lot of cool spots that we can go tell me whats the move and i got you im only acting like this cause i like you just give me the vibe to slide then oh i might make you mine by the night andsend me your location lets focus on communicating cause i just need the time and place to come through place to come through send me your location lets ride the vibrations i dont need nothing else but you    photos                                   ride ride ride come and vibe with me tonight i dont need nothing else but you i dont need nothing else but you ride ride ride come and vibe with me tonight i dont need nothing else but you nothing else but you do do do do do do oh oh mmm mmm mmm mmm oh oh oh oh oh oh mmm mmm mmm do do do do do do do do do do do do do do i dont need nothing else but you          ",1
"22","attention","charlie puth","2017","  whoa oh oh hmyouve been runnin round runnin round runnin round throwin that dirt all on my name cause you knew that i knew that i knew that id call you up youve been going round going round going round every party in la cause you knew that i knew that i knew that id be at one ohi know that dress is karma perfume regret you got me thinking bout when you were mine oh and now im all up on ya what you expect but youre not coming home with me tonightyou just want attention you dont want my heart maybe you just hate the thought of me with someone new yeah you just want attention i knew from the start youre just making sure im never gettin over you oh   related           songs that will make you cry uncontrollably       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           youve been runnin round runnin round runnin round throwing that dirt all on my name cause you knew that i knew that i knew that id call you up baby now that were now that were now that were right here standing face to face you already know ready know ready know that you won ohi know that dress is karma dress is karma perfume regret yeah you got me thinking bout when you were mine oh you got me thinking bout when you were mine and now im all up on ya all up on ya what you expect oh baby but youre not coming home with me tonight oh noyou just want attention you dont want my heart maybe you just hate the thought of me with someone new someone new yeah you just want attention oh i knew from the start the start youre just making sure im never gettin over you over you oh    photos                                   what are you doin to me what are you doin huh what are you doin what are you doin to me what are you doin huh what are you doin what are you doin to me what are you doin huh what are you doin what are you doin to me what are you doin huhi know that dress is karma perfume regret you got me thinking bout when you were mine and now im all up on ya what you expect but youre not coming home with me tonightyou just want attention you dont want my heart maybe you just hate the thought of me with someone new yeah you just want attention i knew from the start youre just making sure im never gettin over you over youwhat are you doin to me hey what are you doin huh what are you doin what what are you doin to me what are you doin huh yeah you just want attention what are you doin to me i knew from the start what are you doin huh youre just making sure im never gettin over you what are you doin to me what are you doin huh         ",1
"23","theres nothing holdin me back","shawn mendes","2017","we do not have the lyrics for theres nothing holdin me back originally performed by shawn mendes karaoke version yet",2
"24","bodak yellow money moves","cardi b","2017","  said little bitch you cant fuck with me if you wanted to these expensive these is red bottoms these is bloody shoes hit the store i can get them both i dont wanna choose and im quick cut a nigga off so dont get comfortable look i dont dance now i make money moves say i dont gotta dance i make money move if i see you and i dont speak that means i dont fuck with you im a boss you a worker bitch i make bloody moves   related           can you guess the song by the emojis       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke            now she say she gon do what to who lets find out and see cardi b you know where im at you know where i be you in the club just to party im there i get paid a fee i be in and out them banks so much i know theyre tired of me honestly dont give a fuck bout who in front of me dropped two mixtapes in six months what bitch working as hard as me i dont bother with these hoes dont let these hoes bother me they see pictures they say goals bitch im who they tryna be look i might just chill in some bape i might just chill with your boo i might just feel on your babe my pussy feel like a lake he wanna swim with his face im like okay ill let him did what he want he buy me yves saint laurent and the new whip when i go fast as a horse i got the trunk in the front im the hottest in the street know you prolly heard of me got a bag and fixed my teeth hope you hoes know it aint cheap and i pay my mama bills i aint got no time to chill think these hoes be mad at me their baby father want a feel    photos                                    said little bitch you cant fuck with me if you wanted to these expensive these is red bottoms these is bloody shoes hit the store i can get them both i dont wanna choose and im quick cut a nigga off so dont get comfortable look i dont dance now i make money moves say i dont gotta dance i make money move if i see you and i dont speak that means i dont fuck with you im a boss you a worker bitch i make bloody movesif you a pussy you get popped you a groupie you a opp bet you come around my way you cant hang around my block and i just checked my accounts turns out im rich im rich im rich i put my hand above my hip i bet you dip he dip she dip i say i get the money and go this shit is hot like a stove my pussy glitter as gold tell that lil bitch play her role i just arove in a rolls i just came up in a wraith i need to fill up the tank no i need to fill up the safe i need to let all these hoes know that none of their niggas is safe i go to dinner and steak only the real can relate i used to live in the ps now its a crib with a gate roly got charms look like frosted flakes i had to let these bitches know just in case these hoes forgot i just run and check the mail another check from mona scott said little bitch you cant fuck with me if you wanted to these expensive these is red bottoms these is bloody shoes hit the store i can get them both i dont wanna choose and im quick cut a nigga off so dont get comfortable look i dont dance now i make money moves say i dont gotta dance i make money move if i see you and i dont speak that means i dont fuck with you im a boss you a worker bitch i make bloody moves         ",1
"25","redbone","childish gambino","2017","  daylight i wake up feeling like you wont play right i used to know but now that shit dont feel right it made me put away my pride so long you made a nigga wait for some so long you make it hard for a boy like that to go wrong im wishing i could make this mine ohif you want it yeah you can have it oh oh oh if you need it oooh we can make it oh if you want it you can have it   related           match these taylor swift songs to her exboyfriends       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           but stay woke niggas creepin they gon find you gon catch you sleepin oooh now stay woke niggas creepin now dont you close your eyestoo late you wanna make it right but now its too late my peanut butter chocolate cake with koolaid im trying not to waste my timeif you want it oh you can have it you can have it if you need it you better believe in something we can make it if you want it you can have it aaaaah    photos                                   but stay woke niggas creepin they gon find you gon catch you sleepin put your hands up on me now stay woke niggas creepin now dont you close your eyes but stay woke niggas creepin they gon find you gon catch you sleepin ooh now stay woke niggas creepin now dont you close your eyesbaby get so scandalous oh howd it get so scandalous oh oh baby you howd it get howd it get so scandalous ooh we get so scandalous but stay woke but stay woke         ",1
"26","i dont wanna live forever","zayn and taylor swift","2017","NA",1
"27","it aint me","kygo and selena gomez","2017","  i had a dream we were sipping whiskey neat highest floor the bowery nowheres high enough somewhere along the lines we stopped seeing eye to eye you were staying out all night and i had enoughno i dont wanna know where you been or where youre goin but i know i wont be home and youll be on your own   related           27 best ever songs from movie soundtracks       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           whos gonna walk you through the dark side of the morning whos gonna rock you when the sun wont let you sleep whos waking up to drive you home when youre drunk and all alone whos gonna walk you through the dark side of the morningit aint me the bowery whiskey neat grateful im so grateful it aint me the bowery whiskey neat grateful im so grateful it aint me the bowery whiskey neat grateful im so grateful it aint me the bowery whiskey neat grateful im so grateful it aint me    photos                                   i had a dream we were back to seventeen summer nights and the libertines never growing up ill take with me the polaroids and the memories but you know im gonna leave behind the worst of uswhos gonna walk you through the dark side of the morning whos gonna rock you when the sun wont let you sleep whos waking up to drive you home when youre drunk and all alone whos gonna walk you through the dark side of the morningit aint me no no it aint me no no it aint me no no it aint me no no whos gonna walk you through the dark side of the morning it aint me the bowery whiskey neat grateful im so grateful it aint me the bowery whiskey neat grateful im so grateful it aint me the bowery whiskey neat grateful im so grateful         ",1
"28","ispy","kyle featuring lil yachty","2017","  kodak blacki aint been gettin high well maybe a little baby i dont wanna lie i know when you text me girl i dont always reply well youre not an angel either you cant even fly i notice you think that you know shit all this shade thats coming at me i wonder who throws it i got tunnel vision and these niggas out of focus superduper sniper gang dont get hit with the scope kid oh shit otay pray them niggas go away always hella clowns around it look like cirque du soleil this went hella platinum nigga it was just a throwaway my album so cold when it drop its gonna be a motherfucking snow day aye boy is good and he knows it he dont say it he shows it im just like derozan if i shoot it it goes in i am in cali just coastin get em so wet they need coasters i got a selfie with oprah but i still aint gonna post it and im in my happy place posted i aint frown since 06 i aint cried since 01 they freed lil kodak the kids back lets throw somethin you can come back to mine though your friend aint cute but its fine though we gon end on a high note   related           23 one hit wonders you still cant get out of your head       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           i spy with my little eye a girlie i can get cause she dont get too many likes a curlyheaded cutie i can turn into my wife wait that means forever ever hold up never mind oh i i spy with my little eye a girlie i can get cause she dont get too many likes a curlyheaded cutie i can turn into my wife wait that means forever ever hold up never mind oh i i spy with my little eye i spy i spy with my little eye oh i i spy with my little eye i spy i spy with my little eye oh i oooooeeeeeee yeah    photos                                   i could spot you from a hundred miles away oh i can see you through my jim maui shades aye when i pull up im in a black audi a8 aye leave your man cause he aint nothin like me babe ive been trying to get my blower cause i aint never wanting to be linking up i dont ever wanna be doing features i stay far away from these people said she love me but i dont believe her yeah i want you but i dont need ya even when i aint lookin i see ya you cant even see me but i see ya im just chilling smokin reefer dropping codeine in a liter ive got more stripes than a zebra im a gemini shes a libra pulling stunts like evil kenevile once i freak her im gonna delete her i was just talking to auntie rita told her stay out here cause we need ya aye aye i aint stalking but i see ya over there yeah yeah im watching cause this sniper gang for real yeah hit the dentist and ill put diamonds in my grill yeah dont think im soft girl im just showing you how i feel aye yeah yeah yeah pulled up on a pill aye yeah yeah yeah can see ya from over here aye yeah baby girl i can see you in a lift see you riding in a spliff i put vvs in your ear ayei spy with my little eye a girlie i can get cause she dont get too many likes a curlyheaded cutie i can turn into my wife wait that means forever ever hold up never mind oh i i spy with my little eye a girlie i can get cause she dont get too many likes a curlyheaded cutie i can turn into my wife wait that means forever ever hold up never mindoh i i spy with my little eye i spy i spy with my little eye oh i i spy with my little eye i spy i spy with my little eye oh i         ",1
"29","issues","julia michaels","2017","  im jealous im over zealous when im down i get real downwhen im high i dont come down i get angry baby believe me i could love you just like that and i could leave you just this fast   related           27 best ever songs from movie soundtracks       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           but you dont judge me cause if you did baby i would judge you too no you dont judge me cause if you did baby i would judge you toocause i got issues but you got em too so give em all to me and ill give mine to you bask in the glory of all our problems cause we got the kind of love it takes to solve em    photos                                   yeah i got issues and one of them is how bad i need youyou do shit on purpose you get mad and you break things feel bad try to fix things but youre perfect poorly wired circuit and got hands like an ocean push you out pull you back incause you dont judge me cause if you did baby i would judge you too no you dont judge me cause you see it from the same point of viewcause i got issues but you got em too so give em all to me and ill give mine to you bask in the glory of all our problems cause we got the kind of love it takes to solve emyeah i got issues and one of them is how bad i need youand one of them is how bad i need you i got issues you got em toocause i got issues but you got em too so give em all to me and ill give mine to you bask in the glory of all our problems cause we got the kind of love it takes to solve emyeah i got issues and one of them is how bad i need you you got em too yeah i got issues i got issues and one of them is how bad i need you you got em too yeah i got issues i got and one of them is how bad i need you         ",1
"30","scars to your beautiful","alessia cara","2017","  she just wants to be beautiful she goes unnoticed she knows no limits she craves attention she praises an image she prays to be sculpted by the sculptor oh she dont see the light thats shining deeper than the eyes can find it maybe we have made her blind so she tries to cover up her pain and cut her woes away cause covergirls dont cry after their face is madebut theres a hope thats waiting for you in the dark you should know youre beautiful just the way you are and you dont have to change a thing the world could change its heart no scars to your beautiful were stars and were beautiful ohoh ohohoh ohohohoh ohohoh   related           23 boy band slow jams that made you believe in love       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           and you dont have to change a thing the world could change its heart no scars to your beautiful were stars and were beautifulshe has dreams to be an envy so shes starving you know covergirls eat nothing she says beauty is pain and theres beauty in everything whats a little bit of hunger i could go a little while longer she fades away she dont see her perfect she dont understand shes worth it or that beauty goes deeper than the surface ah oh ah ah oh so to all the girls thats hurting let me be your mirror help you see a little bit clearer the light that shines within    photos                                   theres a hope thats waiting for you in the dark you should know youre beautiful just the way you are and you dont have to change a thing the world could change its heart no scars to your beautiful were stars and were beautifulohohoh ohohohoh ohohoh ohohohohand you dont have to change a thing the world could change its heart no scars to your beautiful were stars and were beautifulno better you than the you that you are no better you than the you that you are no better life than the life were living no better life than the life were living no better time for your shine youre a star no better time for your shine youre a star oh youre beautiful oh youre beautifuuuultheres a hope thats waiting for you in the dark you should know youre beautiful just the way you are and you dont have to change a thing the world could change its heart no scars to your beautiful were stars and were beautiful woahohohoh woahohohoh woahohohohoh ohohohoh and you dont have to change a thing the world could change its heart no scars to your beautiful were stars and were beautiful         ",1
"31","18002738255","logic featuring alessia cara and khalid","2017","  ive been on the low i been taking my time i feel like im out of my mind it feel like my life aint mine who can relate ive been on the low i been taking my time i feel like im out of my mind it feel like my life aint minei dont wanna be alive i dont wanna be alive i just wanna die today i just wanna die i dont wanna be alive i dont wanna be alive i just wanna die and let me tell you why   related           songs that will make you cry uncontrollably       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           all this other shit im talkin bout they think they know it ive been praying for somebody to save me no ones heroic and my life dont even matter i know it i know it im hurting deep down but cant show it i never had a place to call my own i never had a home aint nobody callin my phone where you been where you at whats on your mind they say every life precious but nobody care about mineive been on the low i been taking my time i feel like im out of my mind it feel like my life aint mine who can relate ive been on the low i been taking my time i feel like im out of my mind it feel like my life aint mine    photos                                   i want you to be alive i want you to be alive you dont gotta die today you dont gotta die i want you to be alive i want you to be alive you dont gotta die now lemme tell you whyits the very first breath when your heads been drowning underwater and its the lightness in the air when youre there chest to chest with a lover its holding on though the roads long and seeing light in the darkest things and when you stare at your reflection finally knowing who it is i know that youll thank god you didi know where you been where you are where you goin i know youre the reason i believe in life whats the day without a little night im just tryna shed a little light it can be hard it can be so hard but you gotta live right now you got everything to give right nowive been on the low i been taking my time i feel like im out of my mind it feel like my life aint mine who can relate ive been on the low i been taking my time i feel like im out of my mind it feel like my life aint minei finally wanna be alive i finally wanna be alive i dont wanna die today i dont wanna die i finally wanna be alive i finally wanna be alive i dont wanna die i dont wanna diepain dont hurt the same i know the lane i travel feels alone but im moving til my legs give out and i see my tears melt in the snow but i dont wanna cry i dont wanna cry anymore i wanna feel alive i dont even wanna die anymore oh i dont wanna i dont wanna i dont even wanna die anymore         ",1
"32","slow hands","niall horan","2017","  we should take this back to my place thats what she said right to my face cause i want you bad yeah i want you baby ive been thinking about it all day and i hope you feel the same way yeah cause i want you bad yeah i want you babyslow slow hands back sweat dripping down the dirty laundry no no chance that im leaving here without you on me i i know yeah i already know that there aint no stopping your plans and those slow hands slow handsi just wanna take my time we could do this baby all night yeah cause i want you bad yeah i want you baby   related           23 one hit wonders you still cant get out of your head       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           slow slow hands like sweat dripping down that dirty laundry no no chance that im leaving here without you on me i i know yeah i already know that there aint no stopping your plans and those slow handsfingertips putting on a show got me now and i cant say no wanna be with you all alone take me home take me home fingertips putting on a show cant you tell that i want you baby yeahslow hands like sweat dripping down that dirty laundry no no chance that im leaving here without you on me i i know yeah i already know that there aint no stopping    photos                                   slow hands like sweat dripping down that dirty laundry no no chance that im leaving here without you on me i i know yeah i already know that there aint no stopping your plans and those slow hands          ",1
"33","love on the brain","rihanna","2017","  and you got me like oh what you want from me what you want from me and i tried to buy your pretty heart but the price too highbaby you got me like oh you love when i fall apart fall apart so you can put me together and throw me against the wallbaby you got me like ah ah dont you stop loving me loving me dont quit loving me loving me just start loving me loving me   related           15 huge stars who were backup singers first       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           oh and babe im fist fighting with fire just to get close to you can we burn something babe and i run for miles just to get a tastemust be love on the brain thats got me feeling this way feeling this way it beats me black and blue but it fucks me so good and i cant get enoughmust be love on the brain yeah and it keeps cursing my name cursing my name no matter what i do im no good without you and i cant get enough must be love on the brain    photos                                   then you keep loving me just love me yeah just love me all you need to do is love me yeahgot me like ahahahow im tired of being played like a violin what do i gotta do to get in your motherfuckin heartbaby you got me like iiiiiiiiihiii woo iiiiiiiiihiii dont you stop loving me loving me dont quit loving me loving me just start loving me loving meoh and babe im fist fighting with fire just to get close to you can we burn something babe and i run for miles just to get a tastemust be love on the brain thats got me feeling this way feeling this way it beats me black and blue but it fucks me so good and i cant get enoughmust be love on the brain and it keeps cursing my name cursing my name no matter what i do im no good without you and i cant get enoughmust be love on the brain         ",1
"34","i feel it coming","the weeknd featuring daft punk","2017","tell me what you really like baby i can take my time we dont ever have to fight just take it stepbystep i can see it in your eyes cause they never tell me lies i can feel that body shake and the heat between your legs youve been scared of love and what it did to you you dont have to run i know what youve been through just a simple touch and it can set you free we dont have to rush when youre alone with me i feel it coming i feel it coming babe i feel it coming i feel it coming babe i feel it coming i feel it coming babe i feel it coming i feel it coming babe you are not the single type so baby this the perfect time im just trying to get you high and faded off this touch you dont need a lonely night so baby i can make it right you just got to let me try to give you what you want youve been scared of love and what it did to you you dont have to run i know what youve been through just a simple touch and it can set you free we dont have to rush when youre alone with me i feel it coming i feel it coming babe i feel it coming i feel it coming babe i feel it coming i feel it coming babe i feel it coming i feel it coming babe i feel it coming i feel it coming babe i feel it coming i feel it coming babe i feel it coming i feel it coming babe i feel it coming i feel it coming babe youve been scared of love and what it did to you you dont have to run i know what youve been through just a simple touch and it can set you free we dont have to rush when youre alone with me i feel it coming i feel it coming babe i feel it coming i feel it coming babe i feel it coming i feel it coming babe i feel it coming i feel it coming babe i know what you feel right now i feel it coming i feel it coming babe i feel it coming i feel it coming babe i feel it coming i feel it coming babe i feel it coming i feel it coming babe i know what you say right now babe i feel it coming i feel it coming babe i feel it coming i feel it coming babe i feel it coming i feel it coming babe i feel it coming i feel it coming babe i know what you say right now babe i feel it coming i feel it coming babe i feel it coming i feel it coming babe i feel it coming i feel it coming babe i feel it coming i feel it coming babe i feel it coming babe i feel it coming babe i feel it coming babe i feel it coming babe",2
"35","bounce back","big sean","2017","  if young metro dont trust you ima shoot youlast night took an l but tonight i bounce back wake up every morning by the night i count stacks knew that ass was real when i hit it bounce back you aint getting checks last night took an l but tonight i bounce back boy i been broke as hell cashed a check and bounced back d town lax every week i bounce back if you a real one then you know how to bounce back    related           11 delicious misheard lyrics about food       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           dont owe nobody owe nobody always on the fuckin job i got no hobbies got the city fuckin with me cause im homegrown vibin out more than my phone though leave me lone me on my own though look i cut that bitch off like an edit my daddy a g its genetics straight up i heard ya new shit its pathetic ya contract should be sshredded took my dogs on a private jet from the public housing i kept it g yeah one thousand clique star studded like the paramount mountain everything i do is righteous betting on me is the right risk even in a fucking crisis im never on some switching sides shit i switch gears to the night shift blacking out cause im enlightened god talk to me in silence but i hear him every time mane thank you god god bless you thank you so much    photos                                   last night took an l but tonight i bounce back wake up every morning by the night i count stacks knew that ass was real when i hit it bounce back you aint getting checks last night took an l but tonight i bounce back boy i been broke as hell cashed a check and bounced back d town lax every week i bounce back if you a real one then you know how to bounce backlook i woke up in beast mode with my girl thats beauty and the beast though been top 5 these niggas sleep though only thing that sold out is the seats though never sold my soul never will never have nigga how dare you stand before me and not respect my authority if you fuck with my glory ima drop the l and get gory i done did everything expect worry hella drama my life story faith of a mustard seed i kept growing i knew that this life was meant for me niggas change up more than wishin wells karma come around ill wish em well livin like im on a limitless pill i kill the scene like im denzel crazy like my jacket strapped up nigga i dont act but ill act up brown paper bag like the lunch packed up back back back back up nigga ima need like 10 feet or get stomped out with ten feet ima always lose my temper you cannot count to ten me if i lose 1 i bounce back like 2 3 did with 4 5 seen court rooms and court sides aint too many seen both sides nigga fuck what you know nigga im takin back control the under dog just turned into the wolf and the hunger steady grows yeah i call shots while you call off never takin summer or fall off when you stay that committed to it you just fall down and never fall offlast night took an l but tonight i bounce back wake up every morning by the night i count stacks knew that ass was real when i hit it bounce back you aint getting checks last night took an l but tonight i bounce back boy i been broke as hell cashed a check and bounced back d town lax every week i bounce back if you a real one then you know how to bounce backbounce back bounce bounce bounce back bounce bounce bounce bounce bitch bounce yeah is you a real one is you a real one real one real one is you a real one real one real one don         ",1
"36","strip that down","liam payne featuring quavo","2017","  huncho quavo yo yoyou know ive been taking some time and ive been keeping to myself self i had my eyes up on the prize aint watching anybody else but your love it hit me hard girl yeah youre bad for my health i love the cards that ive been dealtdo you feel the same as wellyou know i used to be in 1d now im out free people want me for one thing thats not me   related           26 best breakup songs of all time       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           im not changing the way that i used to be i just wanna have fun and get rowdy one coke and bacardi sippin lightly when i walk inside the party girls on me f1 type ferrari 6 gear speed girl i love it when your body grinds on me oh yeahyou know i love it when the musics loud but cmon strip that down for me baby now theres a lot of people in the crowd but only you can dance with meso put your hands on my body and swing that round for me baby swing you know i love it when the musics loud but cmon strip that down for me yeah yeah yeah yeah oh strip that down girl love when you hit the ground girl yeah yeah yeah yeah oh strip that down girl love when you hit the ground    photos                                   you know that since the day i met you yeah you swept me off my feet you know that i dont need no moneywhen your love is beside me yeah you opened up my heart and then you threw away the key girl now its just you and me and you dont care bout where ive beenyou know i used to be in 1d now im out free free people want me for one thing thats not me im not changing the way that i used to be i just wanna have fun and get rowdy ooh one coke and bacardi sippin lightly when i walk inside the party girls on me f1 type ferrari 6 gear speed girl i love it when your body grinds on me oohyou know i love it when the musics loud but cmon strip that down for me baby now theres a lot of people in the crowd but only you can dance with me so put your hands on my body and swing that round for me baby yeah you know i love it when the musics loud but cmon strip that down for me yeah yeah yeah yeah oh strip that down girl love when you hit the ground girl yeah yeah yeah yeah strip that down oh strip that down girl love when you hit the ground yeah yeah yeah yeah oh strip that down girl love when you hit the ground girl yeah yeah yeah yeah yeah oh strip that down girl love when you hit the ground yeah yeah yeah yeah oh quavoshe gon strip it down for a thug yeah strip it down word around town she got the buzz yeah word five shots in she in love now shots i promise when we pull up shut the club down hey i took her from her man dont nobody know know if you brought the cl better drive slow slow she know how to make me feel with my eyes closed skrrt skrrt anything goes down with the huncho hunchoyou know i love it when the musics loud but cmon strip that down for me baby now theres a lot of people in the crowd but only you can dance with me so put your hands on my body and swing that round for me baby you know i love it when the musics loud but cmon strip that down for me yeah yeah yeah yeah yeah yeah yeah yeah cmon strip that down for me yeah yeah yeah yeah ayy dont say nothing girl strip that down for me strip it down yeah yeah yeah yeah all i want girl if you strip that down for me strip it down yeah yeah yeah yeah youre the one girl cmon strip that down for me yeah yeah yeah yeah         ",1
